ms,d0,d1,d2,d3,minD,gsr_raw,gsr_filt,gsr_minDyn,gsr_maxDyn,gps_fix,lat,lng,speed_kmph,date,time,sats,x_3857,y_3857,snapped_x_3857,snapped_y_3857,offset_to_route_m,dist_along_m,route_length_m,route_step_m,route_source_crs_epsg,x_3857_generated,y_3857_generated,dist_along_m_generated
360347,2500,720,607,793,607,458,461.27,461.16,547.64,1,45.43249,12.357881,2.82,170126,14460800,7,1375673.0202038705,5689867.110393038,1375665.2826798714,5689863.123749873,8.704171492103132,10.0,3477.6786293824302,0.5,3857,1375653.3574825542,5689877.155182498,20.408912144263113
361822,2500,2500,2500,744,744,467,461.12,460.47,546.95,1,45.43249,12.357877,0.0,170126,14460900,7,1375672.5749259072,5689867.110393038,1375665.2826798714,5689863.123749873,8.310846886688168,10.0,3477.6786293824302,0.5,3857,1375651.421323146,5689876.509796028,22.449803358689422
363318,2500,2500,816,2500,816,463,461.22,460.48,546.26,1,45.432479,12.357875,0.0,170126,14461100,7,1375672.3522869255,5689865.365447246,1375665.2826798714,5689863.123749873,7.416505309856916,10.0,3477.6786293824302,0.5,3857,1375649.4715033767,5689875.910096046,24.490694573115732
364763,2500,2500,710,998,710,463,461.26,460.48,545.58,1,45.432472,12.357879,5.96,170126,14461200,7,1375672.7975648888,5689864.255027372,1375665.2826798714,5689863.123749873,7.599558250737331,10.0,3477.6786293824302,0.5,3857,1375647.498856385,5689875.386740721,26.531585787542046
366285,2500,2500,2500,2500,2500,457,461.18,460.49,544.91,1,45.432466,12.357899,4.59,170126,14461400,7,1375675.0239547046,5689863.3032390205,1375665.2826798714,5689863.123749873,9.742928293403123,10.0,3477.6786293824302,0.5,3857,1375645.5262093935,5689874.863385397,28.572477001968355
367750,2500,2500,456,1121,456,458,461.19,460.5,544.24,1,45.432469,12.357905,2.98,170126,14461500,7,1375675.6918716496,5689863.779133184,1375665.2826798714,5689863.123749873,10.429803486124795,10.0,3477.6786293824302,0.5,3857,1375643.5621534595,5689874.309175988,30.61336821639467
369222,2500,2500,494,2500,494,457,461.84,460.51,543.59,1,45.432492,12.357895,4.44,170126,14461700,7,1375674.578676741,5689867.4276559455,1375665.2826798714,5689863.123749873,10.243981905740984,10.0,3477.6786293824302,0.5,3857,1375641.5849369047,5689873.820833345,32.65425943082098
370655,2500,2500,2500,2500,2500,461,461.73,460.52,542.94,1,45.432506,12.357891,5.65,170126,14461800,7,1375674.1333987785,5689869.648496614,1375665.2826798714,5689863.123749873,10.99579670640281,10.0,3477.6786293824302,0.5,3857,1375639.5645576804,5689873.532207741,34.69515064524729
372054,2500,2500,506,2500,506,465,462.61,460.53,542.29,1,45.432527,12.357885,4.7,170126,14462000,7,1375673.4654818336,5689872.979758653,1375662.4160625956,5689867.135014458,12.50002800815847,10.0,3477.6786293824302,0.5,3857,1375637.5375874767,5689873.40203979,36.7360418596736
373522,2500,2500,2500,1137,1137,466,462.27,460.55,541.65,1,45.432533,12.357882,4.22,170126,14462100,7,1375673.1315233612,5689873.931548033,1375661.395413699,5689869.928323858,12.40008362036862,10.0,3477.6786293824302,0.5,3857,1375635.500218079,5689873.521885048,38.776933074099915
374988,2500,2500,2500,1076,1076,464,462.45,460.56,541.02,1,45.432532,12.357875,2.37,170126,14462300,7,1375672.3522869255,5689873.772916463,1375661.146395671,5689870.896727302,11.56911677268833,10.0,3477.6786293824302,0.5,3857,1375633.4628486813,5689873.641730307,40.817824288526225
376410,2500,2500,546,2500,546,462,461.94,460.48,540.48,1,45.432525,12.357874,3.3,170126,14462400,7,1375672.2409674348,5689872.662495548,1375661.519922713,5689869.4441221375,11.19369140789614,10.0,3477.6786293824302,0.5,3857,1375631.4270574627,5689873.586383425,42.858715502952535
377863,2500,2500,2500,881,881,459,461.21,460.17,540.17,1,45.43252,12.357872,2.54,170126,14462500,7,1375672.0183284534,5689871.869337833,1375662.4160625956,5689867.135014458,10.70594822626082,10.0,3477.6786293824302,0.5,3857,1375629.392177723,5689873.429854214,44.899606717378845
379300,2500,2500,2500,2500,2500,460,460.34,459.86,539.86,1,45.43251,12.357872,1.87,170126,14462700,7,1375672.0183284534,5689870.283022622,1375663.4180425445,5689865.404321819,9.887701413597243,10.0,3477.6786293824302,0.5,3857,1375627.3804689618,5689873.1194152,46.940497931805155
380779,2500,2500,2500,2500,2500,458,459.88,459.54,539.54,1,45.43251,12.357863,0.39,170126,14462800,7,1375671.016453036,5689870.283022622,1375662.9170525698,5689866.269668138,9.03920915389216,10.0,3477.6786293824302,0.5,3857,1375625.3896999904,5689872.669886723,48.981389146231464
382276,2500,2500,628,2500,628,466,460.23,459.22,539.22,1,45.432522,12.35784,2.02,170126,14463000,7,1375668.456104748,5689872.186600911,1375661.395413699,5689869.928323858,7.413040761763958,10.0,3477.6786293824302,0.5,3857,1375623.3586755637,5689872.623946154,51.02228036065778
383654,2500,2500,810,2500,810,462,460.43,458.91,538.91,1,45.432525,12.357832,2.13,170126,14463100,7,1375667.5655488216,5689872.662495548,1375661.270904685,5689870.41252558,6.684677229510016,10.0,3477.6786293824302,0.5,3857,1375621.318336016,5689872.671395911,53.06317157508409
385106,2500,2500,525,2500,525,465,460.95,458.61,538.61,1,45.432539,12.357819,3.04,170126,14463300,7,1375666.1183954412,5689874.8833375145,1375660.8973776426,5689871.865130745,6.030638354087877,10.0,3477.6786293824302,0.5,3857,1375619.3060725003,5689872.458172213,55.1040627895104
386580,2500,2500,2500,2500,2500,455,460.16,458.3,538.3,1,45.432546,12.357814,4.19,170126,14463400,7,1375665.5617979872,5689875.9937587045,1375660.351562854,5689872.698714524,6.164727593220682,10.0,3477.6786293824302,0.5,3857,1375617.322632158,5689871.977338191,57.14495400393671
388059,2500,2500,383,2500,383,460,459.78,457.99,537.99,1,45.432555,12.357765,3.28,170126,14463600,7,1375660.1071429383,5689877.421443296,1375658.372396503,5689875.5849987855,2.526237050092196,10.0,3477.6786293824302,0.5,3857,1375615.301830872,5689871.770939861,59.18584521836302
