place_id,place_title,avg_sentiment,review_count,lat,lng,geometry,x_3857,y_3857
ChIJJaEFR9yxfkcRlm5WW2N6g4Q,Minimarket Coop,0.4689357142857143,14,45.4413308,12.3374919,POINT (12.3374919 45.441330799999996),1373403.3159741373,5691269.649186904
ChIJJworIx7DyIAR0v5maTRNr3k,North Vista Hospital,0.6597,1,36.1950921,-115.1228645,POINT (-115.12286449999999 36.1950921),-12815418.654803032,4327499.055876076
ChIJJxOOOlKsfkcRPtgmg4JMxFI,CrÃ©dit Agricole Italia,0.0,1,45.484633,12.419284,POINT (12.419284 45.484632999999995),1382508.3708970498,5698142.454718881
ChIJJztV0JqxfkcR7qnhko2pbVE,Emi Store S.A.S.,0.17,4,45.4375245,12.330438,POINT (12.330438 45.437524499999995),1372618.0794180306,5690665.7760576885
ChIJK2YDvCGxfkcRnjgNKZxifOA,Parrucchieri Andya??s Boutique,0.9831,1,45.4408204,12.3365577,POINT (12.3365577 45.4408204),1373299.3213058382,5691188.671374491
ChIJK5_Nd9exfkcRs5NFdiK-NYo,HERMÃS Venice Store,0.8957,1,45.4333535,12.3368675,POINT (12.3368675 45.433353499999996),1373333.808084086,5690004.089698965
ChIJK6iBP9exfkcRkwD7q8Uwaik,Caff¨¨ Florian,0.9749,4,45.4336094,12.338223,POINT (12.338223 45.433609399999995),1373484.7016538563,5690044.68420044
ChIJK9GBpsGxfkcR8nKJr6cCCm0,Bar Alle Guglie Cicchetteria,0.8277,16,45.4437105,12.3257479,POINT (12.3257479 45.443710499999995),1372095.979874261,5691647.21156146
ChIJK9dgVttmZIgR8kATjCKlpdw,Nashville General Hospital,0.949,1,36.1668387,-86.8070929,POINT (-86.8070929 36.1668387),-9663321.378872395,4323602.470444852
ChIJKSkPZdyxfkcRfRbBCZoU30U,BEPI ANTICO 54 da LORIS,0.986,1,45.4408044,12.3365365,POINT (12.3365365 45.4408044),1373296.9613326334,5691186.132896915
ChIJKVRRjMWxfkcR41EuHgNTCYI,Bottega del Caff¨¨ Dersut,0.743175,8,45.436496,12.326524,POINT (12.326524 45.436496),1372182.3749310656,5690502.610541253
ChIJKWw021SxfkcRdpfo6Dj1s-U,Tango Bar Venezia,0.8706571428571428,28,45.436357,12.320075,POINT (12.320075 45.436357),1371464.47553494,5690480.559231421
ChIJKYWpr96xfkcRDmDiGuvNU5Q,Bar ae Maraveje,0.7233999999999999,14,45.4317409,12.3267327,POINT (12.326732699999999 45.4317409),1372205.6073087943,5689748.280361645
ChIJKezuL8OxfkcRicdEQ1XAKQY,Noval Salon,0.9415,1,45.4435399,12.3306104,POINT (12.3306104 45.4435399),1372637.2708982434,5691620.143694839
ChIJKw1BaduxfkcRoRCavgDEtMI,Farini,0.535725,8,45.4383468,12.3338932,POINT (12.333893199999999 45.4383468),1373002.7105226195,5690796.231288179
ChIJL5A7rAKufkcReQEie6B-n8s,Pizzeria Marlin Ristorante,0.9083333333333332,3,45.4528389,12.3508624,POINT (12.350862399999999 45.452838899999996),1374891.713225789,5693095.668071925
ChIJL5RmIy2wfkcRTec0EaSDjbY,Trattoria Altanella,0.9882,1,45.4254067,12.3285732,POINT (12.3285732 45.425406699999996),1372410.4908315993,5688743.546739033
ChIJLR-53J2xfkcR20jNfKNaM5Q,Brunch Cafe,0.9388142857142856,14,45.437255,12.331149,POINT (12.331149 45.437255),1372697.2275759848,5690623.021169584
ChIJLRn8I1SxfkcRtHCC55kvqZM,mini super market,0.2452045454545454,22,45.4361496,12.3355791,POINT (12.335579099999999 45.4361496),1373190.384052148,5690447.656874427
ChIJLSXSmtixfkcRURR_PbcCfyY,Al Gobbo di Rialto,0.994,1,45.4382599,12.334059,POINT (12.334059 45.4382599),1373021.167294193,5690782.444794923
ChIJLezw1tuxfkcR_7oJaOfa4YM,Dolceamaro,-0.1452,20,45.4377367,12.3377649,POINT (12.3377649 45.437736699999995),1373433.7061951237,5690699.440718097
ChIJLf0sOWuxfkcRA_l0E3L3J6I,Bacaro Per Caso,0.94355,12,45.4264142,12.3262713,POINT (12.3262713 45.426414199999996),1372154.2444957423,5688903.349297018
ChIJLxuh8t2xfkcRcYTxcs_7CFs,Bar Gelateria pizzeria,0.3757714285714285,7,45.4437636,12.3387949,POINT (12.3387949 45.4437636),1373548.3652706407,5691655.636570645
ChIJM5hworuvfkcRjJNOBoUF_0U,Paradiso Restaurant,0.8255499999999999,6,45.4289213,12.3566578,POINT (12.356657799999999 45.4289213),1375536.8542027322,5689301.020230782
ChIJMRcIMdCxfkcRzHVfq_x9SgI,Bar all'Angolo,0.8748799999999999,10,45.433806,12.330652,POINT (12.330651999999999 45.433806),1372641.9017890606,5690075.871816641
ChIJMWjvGdixfkcRj4arXTMU7c0,Trattoria Alla Rivetta,0.9136,1,45.43494,12.3421267,POINT (12.3421267 45.43494),1373919.259550066,5690255.765884355
ChIJMYhZ3UOxfkcRy9z-DwuMASQ,Bacaro Vintido',0.9748,1,45.4357007,12.3262347,POINT (12.326234699999999 45.4357007),1372150.1702023793,5690376.442881344
ChIJMasuBtexfkcRJCxPSAYJlVY,Giardini Reali,0.9778,1,45.4329839,12.3382915,POINT (12.338291499999999 45.432983899999996),1373492.3270389757,5689945.458809558
ChIJMdR4E76xfkcRI6TKyjwTkho,University Cafeteria,0.319875,16,45.4449998,12.3168265,POINT (12.3168265 45.4449998),1371102.854169098,5691851.778103019
ChIJMfTSNgCxfkcRw_qJo7SEliQ,Angolo,0.746642857142857,14,45.4447305,12.331579,POINT (12.331579 45.4447305),1372745.0949570257,5691809.049282981
ChIJN-0KOLmxfkcRckUo_SGGiVc,la Bottega della Bellezza,0.5838571428571429,14,45.4431743,12.322505,POINT (12.322505 45.443174299999995),1371734.9818975674,5691562.136865957
ChIJN0EWgMSxfkcRCtxKpbwDEgI,Boresso,0.94168,10,45.4404691,12.329589,POINT (12.329588999999999 45.4404691),1372523.5691703472,5691132.936091838
ChIJN28E4wOufkcRloT3VYEwzrw,Murano Trattoria Valmarana,0.8200000000000001,4,45.4564509,12.3572998,POINT (12.3572998 45.4564509),1375608.3213158213,5693668.869931378
ChIJN50SWyNjbIcRhwNyt6Itj-k,HCA HealthONE Aurora,0.9725,1,39.6899801,-104.8321279,POINT (-104.83212789999999 39.6899801),-11669859.096603326,4820992.77754931
ChIJN62j2zzle0cRJB6WCKWWcO4,Panificio Giovanni Volpe,0.9564,1,45.4445804,12.3254987,POINT (12.325498699999999 45.4445804),1372068.2390571556,5691785.23356799
ChIJN6Zo4i-ufkcRpqOGA5homd8,Hopera - Italian Food,-0.6511,8,45.4322824,12.3548315,POINT (12.3548315 45.4322824),1375333.5514166963,5689834.178564359
ChIJN6soipWxfkcRM6tfMi8_uDo,Restaurant Venedig,0.0,1,45.4373708,12.3339279,POINT (12.333927899999999 45.4373708),1373006.57330895,5690641.392261604
ChIJN7kFlOmxfkcRGo4FBCupIBo,Ospedale S. Raffaele Arcangelo Fatebenefratelli,0.49355,2,45.4474011,12.3308549,POINT (12.3308549 45.4474011),1372664.4885137423,5692232.792378293
ChIJNRDG8_ayfkcRaPQ0OctH2mo,Goppion Caffe',0.18322,10,45.5043585,12.3401305,POINT (12.340130499999999 45.504358499999995),1373697.0435825444,5701274.982893301
ChIJNW7WJ9qxfkcRIRkPrOhkKoA,Pasticceria Storica Mercerie,-0.1169857142857143,28,45.4367871,12.3370691,POINT (12.337069099999999 45.4367871),1373356.2500934298,5690548.791553881
ChIJNaGOj8yxfkcRg6Q9aCDgvCY,Farini,0.61292,20,45.4397531,12.3367253,POINT (12.3367253 45.4397531),1373317.978452495,5691019.3406323
ChIJNxXIgNexfkcResLjhXLuNAU,Ristorante da Raffaele,0.9718,1,45.4323925,12.3336422,POINT (12.3336422 45.4323925),1372974.7693304303,5689851.643839915
ChIJNzVlZI6vfkcRI3vH-qTe4Zo,Minimarket Coop,0.383925,8,45.3925333,12.3559624,POINT (12.3559624 45.3925333),1375459.4426288342,5683530.963259776
ChIJO0FzicOxfkcRVD6CVQCf4xg,Evoluzione Informatica S.n.c. - Essedi Shop,0.05505,8,45.4408204,12.3286288,POINT (12.328628799999999 45.4408204),1372416.6801952876,5691188.671374491
ChIJOXprzdGzfkcRyCOvKq2rGZg,Parco Comunale Veneziano,0.09176,10,45.4690434,12.2804745,POINT (12.280474499999999 45.4690434),1367056.1680397808,5695667.508280324
ChIJOZHIVtexfkcR-SrwqNeClnQ,Basara Sushi Restaurant,0.9523375,8,45.432488,12.3230691,POINT (12.3230691 45.432488),1371797.7772223242,5689866.793130141
ChIJOx5ZcNmxfkcR_RcY9wtRZYU,Brow Bar Benefit Cosmetics,0.5467875,8,45.4387558,12.3369904,POINT (12.3369904 45.438755799999996),1373347.4892495044,5690861.118520855
ChIJP-nEBoixfkcR1SDqDgWj-ns,Noemi Store - Abbigliamento Donna,0.8285428571428571,14,45.437631,12.3322668,POINT (12.3322668 45.437630999999996),1372821.6605027933,5690682.671830429
ChIJP08H-CeufkcR4kJVY2m7DFs,Trattoria da Nino Venezia,0.0543999999999999,2,45.4349098,12.3426254,POINT (12.3426254 45.4349098),1373974.7745801245,5690250.975007831
ChIJP1THENqxfkcR0E9BScaFnyc,Trattoria de fabri,0.4211714285714286,14,45.4359041,12.3360443,POINT (12.3360443 45.435904099999995),1373242.1698792647,5690408.710412386
ChIJP6Q7-sWxfkcR_Ow2xzhA4FQ,Coop,0.49304,5,45.4375565,12.3316214,POINT (12.3316214 45.4375565),1372749.8149034353,5690670.8527184455
ChIJPRhpm6BxIocRJ6SE2NtbMSg,Lovelace Westside Hospital,-0.09564,10,35.2074758,-106.6770943,POINT (-106.6770943 35.2074758),-11875239.816782026,4192112.1439299975
ChIJPSXhncuxfkcRcUc_CheC_AU,Dal Moro's Venice | Fresh Pasta Restaurant,0.9413571428571428,7,45.436673,12.3420066,POINT (12.3420066 45.436673),1373905.8900792217,5690530.690345345
ChIJPWQtJtuxfkcRbiWXiNzcT7A,VizioVirt¨´ Cioccolateria,0.9548,4,45.4381843,12.3385108,POINT (12.3385108 45.438184299999996),1373516.7394033065,5690770.451039005
ChIJPcI5wrGvfkcRMET0rZ37BCQ,Centro Estetico Almapura di Chiara Forcolin,0.0,1,45.4136455,12.3700831,POINT (12.370083099999999 45.4136455),1377031.351762479,5686878.278919339
ChIJPy3OnHOvfkcR1GUibT72EIc,Oldest Mask store,0.8885,1,45.4354837,12.3430317,POINT (12.3430317 45.4354837),1374020.003689234,5690342.017964165
ChIJPzheuDT0wokREg1maH_UZ-c,Comprehensive Health Care Center,0.2003,1,40.8253295,-73.9169903,POINT (-73.9169903 40.825329499999995),-8228401.721167341,4986611.843225648
