place_id,place_titl,avg_sentim,review_cou,lat,lng,x_3857,y_3857
ChIJfTGsbW-xfkcR9fcNaXdiXKc,Venice Duck Store - The Original,0.926671428571429,"7",45.437793800000001,12.337203700000000,1373371.233696890762076,5690708.499420719221234
ChIJeRPKr02xfkcRYceaOpL8S3Q,Nana Nail,0.656285714285714,"7",45.439033500000001,12.318357000000001,1371273.228649757103994,5690905.175474797375500
ChIJeV0fdCiufkcRzzKtRLEbs8c,chiosco snacks & drinks Schiavoni,0.464514285714286,"7",45.434144199999999,12.344021000000000,1374130.132061475655064,5690129.522385186515749
ChIJeVbUA8OxfkcR_zXK5uB8q5U,Claudio el Paruchier Venezia,0.254087500000000,"8",45.438429800000002,12.339647200000000,1373643.242872643982992,5690809.399074864573777
ChIJeWFfstCxfkcRjFUpqkCiYrc,Da Cherubino,0.930633333333333,"12",45.434426199999997,12.335807200000000,1373215.776027997955680,5690174.257877397350967
ChIJeWrf_4uxfkcR93RKXn-O9xQ,Trattoria La Divina Comida,0.892550000000000,"8",45.436154700000003,12.323886999999999,1371888.825433843769133,5690448.465947330929339
ChIJeas9zMCxfkcRcgmtWTXTArE,Banco BPM,0.145500000000000,"8",45.441565500000003,12.322769500000000,1371764.425902882358059,5691306.885899423621595
ChIJeyRsG9KxfkcR9jpSGhYrUP8,Parrucchiera Monica,-0.110585714285714,"7",45.430688500000002,12.329231300000000,1372483.750188489910215,5689581.340394776314497
ChIJf3vZsCeufkcR-hNEnaG0fRc,Trattoria da Denis,0.942271428571429,"7",45.435644300000000,12.345819900000000,1374330.384693463565782,5690367.495562949217856
ChIJe9TiZdexfkcRbBTs1D2xSYY,Alajmo S.p.A.,0.758850000000000,"8",45.434318699999999,12.338062400000000,1373466.823743634857237,5690157.204427583143115
ChIJfaN4FMSxfkcRL57fL05B6Zc,Stationary Store Venice Campo San Giacomo,0.254728571428571,"7",45.439750300000000,12.327576000000001,1372299.483035380486399,5691018.896407076157629
ChIJfamC--exfkcR10kgZDnauVU,Mercatino Solidale Parrocchia San Luca Venezia,0.306200000000000,"2",45.435697400000002,12.333653999999999,1372976.082900421693921,5690375.919367788359523
ChIJfar9bdyxfkcRvL1gqpQoMng,Volksbank Venezia Campo SS Apostoli (139),0.324962500000000,"8",45.440680299999997,12.336424200000000,1373284.460153817432001,5691166.443854667246342
ChIJg6tIFMexfkcRb_rD_8YtW_c,Top of the Carlton,0.670912500000000,"8",45.439976700000003,12.322059899999999,1371685.433592215413228,5691054.815260680392385
ChIJg76B-tqxfkcRMS0WgmN8htM,"Stefano e Claudia Parrucchieri - Hairdressing Salon, Hairdresser Venice, Parrucchiere Centro Storico",0.808266666666667,"6",45.437116500000002,12.333613500000000,1372971.574461044510826,5690601.048885374329984
ChIJg7gHLKKxfkcRE62kqE9c8pA,Al Grill,0.888550000000000,"8",45.433908000000002,12.335034100000000,1373129.714929665206000,5690092.052616581320763
ChIJcez3aGSxfkcRXq36muA9vrQ,USATA by MarcoPolo,0.120028571428571,"7",45.433863299999999,12.322911599999999,1371780.244402524083853,5690084.961615359410644
ChIJbzxYLdqxfkcRpSyITATpgE8,Da Mamo,0.599125000000000,"8",45.437316699999997,12.336866000000001,1373333.641104849521071,5690632.809561936184764
ChIJc2rTEACxfkcR_CzHFrzshtU,Moro Cafe,0.915260000000000,"20",45.431938400000000,12.329721200000000,1372538.285607029916719,5689779.609712216071784
ChIJc6MvKcmxfkcRpKCyOvpTLTw,Luca La Fenice Di Bernardini Luca & C. S.A.S.,-0.050087500000000,"8",45.433881800000002,12.322976000000001,1371787.413377731107175,5690087.896369099617004
ChIJc9NzZbixfkcRmGS9OZ2UW-4,Banca Popolare di Sondrio SpA,0.160287500000000,"8",45.438828200000003,12.318398200000001,1371277.815012777689844,5690872.604720576666296
ChIJc9YTJMKxfkcR2Z_SnKVPJRw,Banco BPM,0.000000000000000,"3",45.444031099999997,12.328965200000001,1372454.128071990329772,5691698.079063317738473
ChIJcZdwNwyvfkcRp1Vr837WVNM,Giardini Napoleonici,0.563733333333333,"6",45.430083000000003,12.355323900000000,1375388.365133963059634,5689485.292632192373276
ChIJd27KjdmxfkcRwotzoO-LGYE,Trattoria Al Gazzettino,0.637262500000000,"16",45.436421799999998,12.337749400000000,1373431.980743016581982,5690490.839259750209749
ChIJd2aNZACxfkcRtVL5bitIQoI,Leone D¡¯oro Ristorante,0.681712500000000,"8",45.435027200000000,12.338818399999999,1373550.981278674444184,5690269.599158105440438
ChIJd3NfSMmxfkcRYrIEdf2hvOg,Ristorante San Trovaso,0.923575000000000,"8",45.430427700000003,12.327225100000000,1372260.421026060590521,5689539.970728429965675
ChIJd9XzdQCxfkcRiCs-rbwACRY,ALAM STORE,0.464950000000000,"4",45.442382799999997,12.308479699999999,1370173.692643344635144,5691436.557177131995559
ChIJdQaKbtuxfkcRXCDnSwvWAZ0,Trattoria Rialto Novo,0.767990000000000,"10",45.438384999999997,12.334886500000000,1373113.284172824816778,5690802.291640608571470
ChIJd_w4JSaufkcRatSy85NfLA8,Caff¨¨ Girani Antica torrefazione veneziana,0.720675000000000,"8",45.434482899999999,12.346359500000000,1374390.452690695645288,5690183.252593780867755
ChIJidUtAcKxfkcRYXhGuTpGWO0,Camuffo Canareggio,0.000000000000000,"3",45.445247700000003,12.328891400000000,1372445.912693569669500,5691891.111645701341331
