place_id,place_titl,avg_sentim,review_cou,lat,lng,geometry,x_3857,y_3857,fid,place_id_2,place_ti_1,latitude,longitude,resident,tourist,total_revi,resident_r,tourist_ra
ChIJ8dgmsdixfkcRDo9ch-rzKsM,Osteria Alla Staffa,0.866100000000000,"2",45.438392000000000,12.342812700000000,POINT (12.3428127 45.438392),1373995.624720749910921,5690803.402176839299500,97,ChIJ8dgmsdixfkcRDo9ch-rzKsM,Osteria Alla Staffa,45.438392000000000,12.342812700000000,"2","6","8",0.250000000000000,0.750000000000000
ChIJ9QINYMOxfkcR6hH0Shnsxbo,Ca' Ve Caff¨¨ S.r.l.,-0.205925000000000,"8",45.440480000000001,12.331049999999999,POINT (12.33105 45.44048),1372686.206946396036074,5691134.665419332683086,103,ChIJ9QINYMOxfkcR6hH0Shnsxbo,Ca' Ve Caff¨¨ S.r.l.,45.440480000000001,12.331049999999999,"8","8","16",0.500000000000000,0.500000000000000
ChIJ9S2czduxfkcRTmOXhLOne9A,Cr??dit Agricole Italia,0.064400000000000,"1",45.437479000000003,12.336918000000001,POINT (12.336917999999999 45.437478999999996),1373339.429718371015042,5690658.557685629464686,104,ChIJ9S2czduxfkcRTmOXhLOne9A,Cr??dit Agricole Italia,45.437479000000003,12.336918000000001,"1","7","8",0.125000000000000,0.875000000000000
ChIJ9SuaEXGxfkcRdwM6ljh9unk,TRATTORIA AL POGGIO,0.937100000000000,"1",45.443700300000003,12.325996099999999,POINT (12.3259961 45.443700299999996),1372123.609371876111254,5691645.593199021182954,105,ChIJ9SuaEXGxfkcRdwM6ljh9unk,TRATTORIA AL POGGIO,45.443700300000003,12.325996099999999,"1","7","8",0.125000000000000,0.875000000000000
ChIJ9TxT0sixfkcRSu2E-V89JJw,The Caffe Rosso,0.419600000000000,"16",45.434504900000000,12.323559100000001,POINT (12.323559099999999 45.4345049),1371852.323772812727839,5690186.742609626613557,106,ChIJ9TxT0sixfkcRSu2E-V89JJw,The Caffe Rosso,45.434504900000000,12.323559100000001,"16","16","32",0.500000000000000,0.500000000000000
ChIJ9YFLCwCxfkcR3ddyifUm9HM,Starbucks - Venezia Rialto,0.395750000000000,"16",45.437287800000000,12.336584000000000,POINT (12.336584 45.4372878),1373302.249008446000516,5690628.224722046405077,109,ChIJ9YFLCwCxfkcR3ddyifUm9HM,Starbucks - Venezia Rialto,45.437287800000000,12.336584000000000,"16","16","32",0.500000000000000,0.500000000000000
ChIJ9wejcJWxfkcRVsZ54M2dJUA,Trattoria Alla Fontana,0.936400000000000,"2",45.444564600000000,12.324124800000000,POINT (12.3241248 45.4445646),1371915.297208754578605,5691782.726654308848083,112,ChIJ9wejcJWxfkcRVsZ54M2dJUA,Trattoria Alla Fontana,45.444564600000000,12.324124800000000,"2","6","8",0.250000000000000,0.750000000000000
ChIJA9tf5O2xfkcRwmk91TVz0wI,Trattoria San Polo,0.646800000000000,"4",45.437313400000001,12.330464900000001,POINT (12.330464899999999 45.4373134),1372621.073912332998589,5690632.286033385433257,114,ChIJA9tf5O2xfkcRwmk91TVz0wI,Trattoria San Polo,45.437313400000001,12.330464900000001,"4","12","16",0.250000000000000,0.750000000000000
ChIJA9tf5O2xfkcRwmk91TVz0wI,Trattoria San Polo,0.646800000000000,"4",45.437313400000001,12.330464900000001,POINT (12.330464899999999 45.4373134),1372621.073912332998589,5690632.286033385433257,163,ChIJGXlWOsWxfkcRFqEuLslHNJc,Pizzeria Cico,45.437313400000001,12.330464900000001,"0","8","8",0.000000000000000,1.000000000000000
ChIJAcPbGcGxfkcRM93r37RUrP4,Trattoria Alle Lanternine,0.975927272727273,"11",45.442893200000000,12.332493899999999,POINT (12.3324939 45.4428932),1372846.941159152425826,5691517.537232084199786,119,ChIJAcPbGcGxfkcRM93r37RUrP4,Trattoria Alle Lanternine,45.442893200000000,12.332493899999999,"11","13","24",0.458333333333333,0.541666666666667
