Y,X,ID,GEOHASH,NUMPOINTS
5691734.34074851,1372732.59097348,"0",u20f88g,31
5691952.23599199,1372579.71691691,"1",u20f894,31
5691952.23599199,1372426.84286034,"2",u20f891,51
5688684.36410338,1372732.59097348,"3",u20f2t7,13
5691734.34074851,1372885.46503005,"4",u20f88u,22
5690862.81281247,1373191.21314319,"5",u20f2xy,778
5690862.81281247,1373038.33908662,"6",u20f2xv,205
5690862.81281247,1373344.08719976,"7",u20f2xz,95
5690862.81281247,1372885.46503005,"8",u20f2xu,62
5690209.22253948,1372732.59097348,"9",u20f2x5,43
5690427.08066181,1374108.45748261,"10",u20f2zk,42
5689991.36971864,1373038.33908662,"11",u20f2wv,69
5690209.22253948,1374414.20559575,"12",u20f2zn,81
5690209.22253948,1372885.46503005,"13",u20f2xh,64
5689991.36971864,1372579.71691691,"14",u20f2wf,154
5690427.08066181,1371968.22069063,"15",u20f2rq,54
5690862.81281247,1373955.58342604,"16",u20f2zg,137
5689773.5221989,1375178.57587861,"17",u20f3ne,68
5690209.22253948,1373802.70936947,"18",u20f2z4,248
5689991.36971864,1373649.8353129,"19",u20f2yc,775
5690427.08066181,1373038.33908662,"20",u20f2xm,68
5690209.22253948,1373344.08719976,"21",u20f2xp,220
5690209.22253948,1373496.96125633,"22",u20f2z0,912
5690862.81281247,1371662.47257749,"23",u20f2ru,15
5691734.34074851,1371968.22069063,"24",u20f82y,40
5688902.18512334,1371968.22069063,"25",u20f2mw,12
5691080.68684157,1372579.71691691,"26",u20f884,21
5689555.67997988,1372885.46503005,"27",u20f2wk,85
5689555.67997988,1374414.20559575,"28",u20f2yq,2
5691080.68684157,1374108.45748261,"29",u20f8bh,9
5691298.56617368,1372426.84286034,"30",u20f883,22
5690209.22253948,1373649.8353129,"31",u20f2z1,531
5690644.94408602,1373802.70936947,"32",u20f2zd,81
5689773.5221989,1375025.70182204,"33",u20f3nd,78
5689991.36971864,1373802.70936947,"34",u20f2yf,304
5689773.5221989,1372885.46503005,"35",u20f2ws,100
5691734.34074851,1371815.34663406,"36",u20f82v,18
5690427.08066181,1373496.96125633,"37",u20f2z2,156
5690644.94408602,1373191.21314319,"38",u20f2xw,540
5691298.56617368,1373344.08719976,"39",u20f88r,22
5689991.36971864,1373344.08719976,"40",u20f2wz,207
5690427.08066181,1373649.8353129,"41",u20f2z3,94
5689773.5221989,1371509.59852092,"42",u20f2qe,12
5689555.67997988,1372426.84286034,"43",u20f2w3,55
5690862.81281247,1372426.84286034,"44",u20f2xc,45
5689555.67997988,1372121.0947472,"45",u20f2qr,71
5689555.67997988,1372273.96880377,"46",u20f2w2,14
5690644.94408602,1372885.46503005,"47",u20f2xs,39
5689991.36971864,1372885.46503005,"48",u20f2wu,84
5690209.22253948,1373191.21314319,"49",u20f2xn,92
5691298.56617368,1372579.71691691,"50",u20f886,39
5689773.5221989,1373191.21314319,"51",u20f2ww,76
5689991.36971864,1373191.21314319,"52",u20f2wy,75
5690427.08066181,1372273.96880377,"53",u20f2x2,33
5691080.68684157,1373344.08719976,"54",u20f88p,61
5688684.36410338,1372885.46503005,"55",u20f2tk,26
5691516.45080921,1372732.59097348,"56",u20f88e,59
5691080.68684157,1372885.46503005,"57",u20f88h,48
5691952.23599199,1372273.96880377,"58",u20f890,90
5689991.36971864,1372732.59097348,"59",u20f2wg,51
5689555.67997988,1372579.71691691,"60",u20f2w6,44
5691734.34074851,1373496.96125633,"61",u20f8bb,5
5690644.94408602,1373038.33908662,"62",u20f2xt,169
5689773.5221989,1375637.19804832,"63",u20f3nw,11
5689991.36971864,1373496.96125633,"64",u20f2yb,529
5691516.45080921,1371968.22069063,"65",u20f82w,32
5689773.5221989,1372273.96880377,"66",u20f2w8,37
5690644.94408602,1372426.84286034,"67",u20f2x9,90
5691298.56617368,1373802.70936947,"68",u20f8b6,14
5691080.68684157,1373038.33908662,"69",u20f88j,517
5690209.22253948,1371815.34663406,"70",u20f2rj,60
5691080.68684157,1372426.84286034,"71",u20f881,36
5690427.08066181,1373802.70936947,"72",u20f2z6,28
5689773.5221989,1373344.08719976,"73",u20f2wx,67
5689991.36971864,1374567.07965232,"74",u20f2yz,29
5689555.67997988,1374872.82776547,"75",u20f3n3,3
5688902.18512334,1373191.21314319,"76",u20f2tw,13
5691080.68684157,1373191.21314319,"77",u20f88n,49
5689773.5221989,1375331.44993518,"78",u20f3ns,18
5691298.56617368,1371968.22069063,"79",u20f82q,25
5689337.84306121,1375484.32399175,"80",u20f3nj,29
5689773.5221989,1374261.33153918,"81",u20f2yt,16
5689555.67997988,1375331.44993518,"82",u20f3nk,33
5689555.67997988,1375484.32399175,"83",u20f3nm,92
5691516.45080921,1372426.84286034,"84",u20f889,40
5690209.22253948,1374719.95370889,"85",u20f3p0,59
5690427.08066181,1374414.20559575,"86",u20f2zq,39
5689337.84306121,1373649.8353129,"87",u20f2y1,3
5689991.36971864,1375178.57587861,"88",u20f3ng,44
5690209.22253948,1372273.96880377,"89",u20f2x0,32
5691080.68684157,1374414.20559575,"90",u20f8bn,6
5691298.56617368,1370745.22823807,"91",u20f80q,1
5689555.67997988,1373191.21314319,"92",u20f2wq,29
5691080.68684157,1373649.8353129,"93",u20f8b1,59
5688902.18512334,1372273.96880377,"94",u20f2t8,13
5689773.5221989,1372426.84286034,"95",u20f2w9,273
5689991.36971864,1372273.96880377,"96",u20f2wb,56
5690644.94408602,1373344.08719976,"97",u20f2xx,202
5690644.94408602,1371662.47257749,"98",u20f2rs,54
5690209.22253948,1374567.07965232,"99",u20f2zp,39
5689555.67997988,1373038.33908662,"100",u20f2wm,110
