id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media,geometry
44911459771,1978,e62af17452,Venice of people and of the good taste,venezia venice cannaregio taste veneto dinner italian pranzo goodtaste,7781,,2018-09-25 10:11:19,45.444195,12.332839,https://live.staticflickr.com/1978/44911459771_e62af17452_m.jpg,Cristiano Busato,144405414@N03,photo,POINT (12.332839 45.444195)
19720618164,324,065e0df0b9,Pausa pranzo,bar gondola laguna venezia ristorante pranzo,218,,2015-07-30 14:06:49,45.431738,12.328784,https://live.staticflickr.com/324/19720618164_065e0df0b9_m.jpg,frescoroberto,22314539@N05,photo,POINT (12.328784 45.431738)
44911459771,1978,e62af17452,Venice of people and of the good taste,venezia venice cannaregio taste veneto dinner italian pranzo goodtaste,7781,,2018-09-25 10:11:19,45.444195,12.332839,https://live.staticflickr.com/1978/44911459771_e62af17452_m.jpg,Cristiano Busato,144405414@N03,photo,POINT (12.332839 45.444195)
19720618164,324,065e0df0b9,Pausa pranzo,bar gondola laguna venezia ristorante pranzo,218,,2015-07-30 14:06:49,45.431738,12.328784,https://live.staticflickr.com/324/19720618164_065e0df0b9_m.jpg,frescoroberto,22314539@N05,photo,POINT (12.328784 45.431738)
19591633920,3794,723c3b7413,Post Lauream,nikon festa venezia laurea pranzo divertimento venzia nikond80,777,,2015-07-15 15:25:04,45.437421,12.322228,https://live.staticflickr.com/3794/19591633920_723c3b7413_m.jpg,Andrea Colonna,77202258@N07,photo,POINT (12.322228 45.437421)
7158788208,5462,9f7ab6481a,Untitled Venice,venice water digital dinner table lunch chair nikon laguna fiori acqua venezia tavolo cena sedia canale pranzo lachesilab nikond5100,1135,"It's not the photographer, it's not the camera, is the city. Non è il fotografo, nemmeno la macchina, è la città. Nikon D5100, Venezia, Cannaregio, dove è il mio cuore.",2011-09-29 02:08:06,45.445962,12.329782,https://live.staticflickr.com/5462/7158788208_9f7ab6481a_m.jpg,Andrea Vismara (more off than on),35311836@N07,photo,POINT (12.329782 45.445962)
5563796462,5056,7ee5f3f122,luch-in-venice,venice calle brunch gondola laguna venezia cibo pranzo fondamenta,66,,2011-03-27 02:00:44,45.432287,12.329980,https://live.staticflickr.com/5056/5563796462_7ee5f3f122_m.jpg,gianjust,15031294@N04,photo,POINT (12.32998 45.432287)
4353891136,4070,11d5f699c8,Japanese dinner on the stairway,venice girls blackandwhite italy food japan dinner canon eos japanese picnic streetphotography pasto lorenzo creativecommons venezia cartierbresson biancoenero metz 30d pranzo mecablitz sigma1770macro 48af1,995,Canon EOS 30D Sigma 17-70 Macro Metz Mecablitz 48 AF-1,2010-02-12 12:08:18,45.440862,12.321048,https://live.staticflickr.com/4070/4353891136_11d5f699c8_m.jpg,lo.re.n.zo.,35382636@N05,photo,POINT (12.321048 45.440862)
2826941121,3185,21dc69ca06,Lunch,venice italy lunch italia afternoon venezia pranzo veneto viagaribaldi pomeriggio,149,"31 Agosto 2008 - Venezia, Via Garibaldi, Hostaria all'ombra.",2008-08-31 14:59:15,45.432438,12.355177,https://live.staticflickr.com/3185/2826941121_21dc69ca06_m.jpg,alice in wonderland80,55227876@N00,photo,POINT (12.355177 45.432438)
