id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media
9737906804,7330,f2833b28a2,coda davanti alla LOGGETTA del SANSOVINO per salire sul CAMPANILE di S.MARCO,coda salita loggetta campanilesmarco sansovinio,201,                               ,2013-09-13 11:26:53,45.433967,12.339276,https://live.staticflickr.com/7330/9737906804_f2833b28a2_m.jpg,aldofurlanetto,26213532@N05,photo
5480071072,5137,1d1ca4c953,Traffico a Venezia,venice italy italia traffic gondola venezia coda traffico gondole olympussp590uz,354,"Traffic in Venice.  <a href=""http://www.youtube.com/watch?v=MtXnBn8umgA"" rel=""nofollow"">www.youtube.com/watch?v=MtXnBn8umgA</a>",2011-02-26 21:58:43,45.437369,12.340339,https://live.staticflickr.com/5137/5480071072_1d1ca4c953_m.jpg,Alberto04,14988570@N08,photo
9737906804,7330,f2833b28a2,coda davanti alla LOGGETTA del SANSOVINO per salire sul CAMPANILE di S.MARCO,coda salita loggetta campanilesmarco sansovinio,201,                               ,2013-09-13 11:26:53,45.433967,12.339276,https://live.staticflickr.com/7330/9737906804_f2833b28a2_m.jpg,aldofurlanetto,26213532@N05,photo
5480071072,5137,1d1ca4c953,Traffico a Venezia,venice italy italia traffic gondola venezia coda traffico gondole olympussp590uz,354,"Traffic in Venice.  <a href=""http://www.youtube.com/watch?v=MtXnBn8umgA"" rel=""nofollow"">www.youtube.com/watch?v=MtXnBn8umgA</a>",2011-02-26 21:58:43,45.437369,12.340339,https://live.staticflickr.com/5137/5480071072_1d1ca4c953_m.jpg,Alberto04,14988570@N08,photo
3013772390,3024,17f2046e46,Poussez-pas derrière,venice italy colour rain italia colore basilica pluie file queue venise venezia pioggia couleur italie sanmarco coda basilique attesa attente veneto,407,"Sous la pluie, la file d'attente était aussi colorée que les plafonds de la basilique",2008-10-31 14:07:33,45.434474,12.339320,https://live.staticflickr.com/3024/3013772390_17f2046e46_m.jpg,Boccalupo,30088704@N07,photo
2813916001,3163,9a86b6a0c9,Venezia - Code di Gambero,italien venice italy fish europa europe italia tail shrimp gondola laguna venise venezia venedig italie sanmarco coda pesce stmark gambero,353,Venice - Tail-on Shrimps,2008-08-07 08:55:32,45.438800,12.335683,https://live.staticflickr.com/3163/2813916001_9a86b6a0c9_m.jpg,alberto_d,65272288@N00,photo
